Mots-cles,Scores
oda dac defines,0.5327
dac stats officialdevelopmentassistancedefinitionandcoverage,0.531
oda donors,0.5264
proportion health facilities,0.5649
medicines available affordable,0.5627
cost medicines core,0.5573
cost effectiveness medicines,0.5429
availability medicine affordability,0.5415
medicine affordability,0.5242
medicines core set,0.5153
proportion facilities pharmacies,0.5086
density pharmacists density,0.6393
occupation density medical,0.622
dentists density dentists,0.6094
density dentists density,0.5916
dentists density,0.584
health worker densities,0.5726
density dentists,0.5719
pharmacists density pharmacists,0.5716
doctors density,0.5715
health regulations ihr,0.677
regulations ihr adopted,0.5986
regulations 2005 ihr,0.5856
assessment ihr,0.5787
health assembly ihr,0.5648
advocacy ihr implementation,0.5542
international health regulations,0.5536
ihr states states,0.5498
health capacities states,0.5478
cephalosporins coli isolates,0.6341
cephalosporin esbl coli,0.6105
resistant generation cephalosporins,0.6029
resistant aureus mrsa,0.5962
methicillin resistant aureus,0.5842
methicillin resistant staphylococcus,0.5841
mrsa escherichia coli,0.5835
infection methicillin resistant,0.5805
mrsa isolates defined,0.5712
