ODD;Cible;Indicateur;Mots-cles
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;genetic diversity
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;policy instruments
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;base collection
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;active collection
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;genetic resources
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;food and agriculture
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;ex situ
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-05 : By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed;Indicateur 02-05-01 : Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities;in vivo
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-0A : Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries;Indicateur 02-0A-01 : The agriculture orientation index for government expenditures;government expenditure
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-0B : Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round;Indicateur 02-0B-01 : Agricultural export subsidies;budgetary outlays
ODD02 : End hunger, achieve food security and improved nutrition and promote sustainable agriculture;Cible 02-0B : Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round;Indicateur 02-0B-01 : Agricultural export subsidies;groups of products.
